Tm. Agroindustrial Azucarera
Tm. Construcción de Estructuras
Tm. Contador
Tm. Danza
Tm. Dietética
Tm. DOc.ente Agropecuaria
Tm. DOc.ente Biología Geografía
Tm. DOc.ente Biología Química
Tm. DOc.ente Construcción
Tm. DOc.ente Economía
Tm. DOc.ente Educ Laboral y Computación
Tm. DOc.ente Educadora de Círculo Infantil
Tm. DOc.ente Español Literatura
Tm. DOc.ente Especial
Tm. DOc.ente Lengua Extranjera
Tm. DOc.ente Marxismo Leninismo e Historia
Tm. DOc.ente Matemática Física
Tm. DOc.ente Mecánica
Tm. DOc.ente Preescolar
Tm. DOc.ente Primaria
Tm. Elaboración de Alimentos
Tm. Elaboración de Muebles
Tm. Electricidad
Tm. Electromedicina
Tm. Electrónica
Tm. Enfermería
Tm. Espectáculos Musicales
Tm. Espectáculos y Variedades
Tm. Estadística de Salud
Tm. Explotación del Transporte
Tm. Explotación Transporte Ferroviario
Tm. Farmacia Dispensarial
Tm. Fisiología Normal y Patología
Tm. Forestal
Tm. Geodesia y Cartografía
Tm. Geodesia y Planificación
Tm. Gestión del Capital Humano
Tm. Gestión DOc.umental
Tm. HidraúLic.a
Tm. Higiene y Epidemiología
Tm. Informática
Tm. Inmunoalergia
Tm. Instructor de Arte
Tm. Instructor de Arte Artes Plásticas
Tm. Instructor de Arte Danza
Tm. Instructor de Arte Música
Tm. Instructor de Arte Teatro
Tm. Intérprete Lengua de Señas Cubanas
Tm. Logofonoaudiología
Tm. Mantenimiento y Reparación de Medios de Transporte
Tm. Mantenimiento y Reparación Equipos Ferroviarios
Tm. Maquinaria Azucarera
Tm. Mecánica de Equipos de Confecciones
Tm. Mecánica de la Indusria Petrolera
Tm. Mecánica Industrial
Tm. Mecanización Agropecuaria
Tm. Medicina Transfusional
Tm. Metalurgia
Tm. Metalurgia no Ferrosa
Tm. Motorista Naval de Pesca
Tm. Música
Tm. Normalización Metrología y Control de la Calidad
Tm. Optometría y Optica
Tm. Ortoprótesis
Tm. Otras Profesiones
Tm. Patrón de Pesca
Tm. Personal DOc.ente Química Industrial
Tm. Podología
Tm. Poligrafía
Tm. Profesor de Educación Física
Tm. Prótesis Estomatológica
Tm. Química Industrial
Tm. Radiología
Tm. Refrigeración
Tm. Secretario Operador de MicrOc.omputadora
Tm. Servicio Gastronómico
Tm. Servicios de Belleza
Tm. Tec de los Procesos de la Ind Petrolera
Tm. Tecnología de Fabricación de Azúcar
Tm. Tecnología de la Salud
Tm. Tecnología de los Alimentos
Tm. Telecomunicaciones
Tm. Terapia Física y Rehabilitación
Tm. Terapia Oc.upacional
Tm. Termoenergética
Tm. Trabajo SOc.ial de la Salud
Tm. Traumatología
Tm. Viales
Tm. Vigilancia y Lucha Antivectorial
Tm. Zootecnia Veterinaria
Lic. Contabilidad
Tm. Registros Médicos y Estadística de Salud
Tm. Comercio Interior
Tm. Planificación
Lic. Educación Ciencias Exactas
Bachiller
Máster Ciencias de la Computación
