816;GRUPO EMPRESARIAL PESQUERO DE GRANMA PESCAGRAN;-  -  -  -  -  -  -  -;No
817;GRUPO EMPRESARIAL PROVEEDOR DE LA PESCA APROPES;-  -  -  -  -  -  -  -;No
818;GRUPO EMPRESARIAL PESQUERO Y PORTUARIO;-  -  -  -  -  -  -  -;No
819;GRUPO EMPRESARIAL PESQUERO ACUABANA;-  -  -  -  -  -  -  -;No
820;GRUPO EMPRESARIAL DE NAVIERAS DE CUBA;-  -  -  -  -  -  -  -;Sí
821;GRUPO EMPRESARIAL DE TRANSPORTE;-  -  -  -  -  -  -  -;No
822;GRUPO EMPRESARIAL DE TALLERES DE MECANIZACION ,GETAMEC;-  -  -  -  -  -  -  -;No
823;GRUPO EMPRESARIAL DE CONSTRUCCIONES;-  -  -  -  -  -  -  -;No
824;GRUPO EMPRESARIAL DE TRANSPORTE FERROVIARIO, FERROAZUC;-  -  -  -  -  -  -  -;No
825;GRUPO EMPRESARIAL DE ASEGURAMIENTO;-  -  -  -  -  -  -  -;No
826;GRUPO EMPRESARIAL DE MAQUINARIA AGROINDUSTRIAL;-  -  -  -  -  -  -  -;No
827;GRUPO EMPRESARIAL AGROINDUSTRIAL DE GUANTANAMO;-  -  -  -  -  -  -  -;No
828;GRUPO EMPRESARIAL DE CONSTRUCCION Y MONTAJE, GECONS;GECONS;Sí
829;UNION DE EMPRESAS DE CERVECERIAS;-  -  -  -  -  -  -  -;No
831;GRUPO INDUSTRIAL DE ALUMINIOS DE CUBA;-  -  -  -  -  -  -  -;No
832;GRUPO DE LA INDUSTRIA AUTOMOTRIZ;-  -  -  -  -  -  -  -;No
833;ASOCIACION PRODUCTIVA CICLO ORIENTE;-  -  -  -  -  -  -  -;No
834;GRUPO DE LA MAQUINARIA GENERAL;-  -  -  -  -  -  -  -;No
835;GRUPO INDUSTRIAL DE REFRIGERACION Y CALDERAS;-  -  -  -  -  -  -  -;No
836;GRUPO INDUSTRIAL DE LA MAQUINARIA AGRICOLA Y LA CONSTRUCCION;-  -  -  -  -  -  -  -;No
837;GRUPO INDUSTRIAL MECANICO;-  -  -  -  -  -  -  -;No
838;GRUPO DE BIENES DE CAPITAL, BK-CETI;-  -  -  -  -  -  -  -;No
839;GRUPO DE LA INDUSTRIA ELECTRONICA, LA INFORMATICA, LA AUTOMATIZACION Y LAS COMUNICACIONES;GELECT;Sí
840;GRUPO INDUSTRIAL DE BIENES DE CONSUMO;-  -  -  -  -  -  -  -;No
841;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE CAMAGUEY;-  -  -  -  -  -  -  -;No
842;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE HOLGUIN;-  -  -  -  -  -  -  -;No
843;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE CIENFUEGOS;-  -  -  -  -  -  -  -;No
844;ASOCIACION DE EMPRESAS DE PRODUCCIONES MECANICAS PARA LA AGRICULTURA;-  -  -  -  -  -  -  -;No
845;GRUPO EMPRESARIAL FRUTICOLA;-  -  -  -  -  -  -  -;Sí
847;GRUPO DE PRODUCCION PORCINA;-  -  -  -  -  -  -  -;No
855;GRUPO EMPRESARIAL DE TRANSPORTE MARITIMO PORTUARIO;GEMAR;Sí
856;GRUPO DE INNOVACION DEL TRANSPORTE;-  -  -  -  -  -  -  -;No
857;GRUPO EMPRESARIAL DE INFORMATICA Y COMUNICACIONES DEL TRANSPORTE;-  -  -  -  -  -  -  -;No
858;GRUPO EMPRESARIAL DE TALLERES DEL TRANSPORTE;-  -  -  -  -  -  -  -;No
859;GRUPO EMPRESARIAL DE TRANSPORTE POR OMNIBUS;-  -  -  -  -  -  -  -;No
860;ASOCIACION PRODUCTIVA TRANSPROY;-  -  -  -  -  -  -  -;No
861;GRUPO INDUSTRIAL DE ASTILLEROS;-  -  -  -  -  -  -  -;No
862;GRUPO CORPORATIVO EMSUNA;-  -  -  -  -  -  -  -;No
864;GRUPO EMPRESARIAL PROVEEDORA GENERAL DEL TRANSPORTE;-  -  -  -  -  -  -  -;No
865;GRUPO COMERCIAL PARA EL SUMINISTRO MARITIMO PORTUARIO;-  -  -  -  -  -  -  -;No
867;GRUPO ESTATAL CORPORATIVO COMERCIALIZADOR DEL SIME;-  -  -  -  -  -  -  -;No
868;GRUPO EMPRESARIAL DE MATERIALES DE CONSTRUCCION, GEICON;GEICON;Sí
869;GRUPO EMPRESARIAL DE LA CONSTRUCCION  DE LA HABANA;-  -  -  -  -  -  -  -;No
870;ASOCIACION CONSTRUCTORA NO. 4 CIUDAD DE LA HABANA;-  -  -  -  -  -  -  -;No
871;ASOCIACION CONSTRUCTORA NO. 5 CIUDAD DE LA HABANA;-  -  -  -  -  -  -  -;No
873;ASOCIACION CONSTRUCTORA NO. 7 CIUDAD DE LA HABANA;-  -  -  -  -  -  -  -;No
874;ASOCIACION CONSTRUCTORA NO. 8 CIUDAD DE LA HABANA;-  -  -  -  -  -  -  -;No
875;GRUPO EMPRESARIAL DE ALIMENTOS;-  -  -  -  -  -  -  -;No
876;GRUPO EMPRESARIAL CAMPISMO POPULAR;-  -  -  -  -  -  -  -;Sí
877;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE GRANMA;-  -  -  -  -  -  -  -;No
878;GRUPO EMPRESARIAL DE PRODUCCIONES BIOFARMACEUTICAS Y QUIMICAS;LABIOFAM;Sí
879;GRUPO EMPRESARIAL AGROFORESTAL;-  -  -  -  -  -  -  -;Sí
880;GRUPO EMPRESARIAL DE DISENO E INGENIERIA DE LA CONSTRUCCION, GEDIC;GEDIC;Sí
881;GRUPO EMPRESARIAL DE TABACO DE CUBA;TABACUBA;Sí
883;GRUPO EMPRESARIAL PARA EL DESARROLLO DEL CULTIVO DEL CAMARON;-  -  -  -  -  -  -  -;Sí
884;GRUPO DE TECNOLOGIAS DE LA INFORMACION;-  -  -  -  -  -  -  -;No
885;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE LA HABANA;-  -  -  -  -  -  -  -;No
886;GRUPO EMPRESARIAL DE SUMINISTROS Y TRANSPORTE AGROPECUARIO, SUMITRANS;-  -  -  -  -  -  -  -;No
888;GRUPO EMPRESARIAL PARA EL DESARROLLO AGROPECUARIO, GEDAG;-  -  -  -  -  -  -  -;No
889;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE SANCTI SPIRITUS;-  -  -  -  -  -  -  -;No
890;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE OBRAS DEL TURISMO;-  -  -  -  -  -  -  -;No
891;GRUPO EMPRESARIAL DE LA CONSTRUCCION DE CIEGO DE AVILA;-  -  -  -  -  -  -  -;No
892;GRUPO EMPRESARIAL DEL CEMENTO, GECEM;-  -  -  -  -  -  -  -;No
893;GRUPO EMPRESARIAL FARMACEUTICO;-  -  -  -  -  -  -  -;No
894;GRUPO EMPRESARIAL DE LA CONSTRUCCION DEL PODER POPULAR DE SANTIAGO DE CUBA;-  -  -  -  -  -  -  -;No
895;GRUPO INDUSTRIAL EMPAQUE;-  -  -  -  -  -  -  -;No
896;GRUPO EMPRESARIAL PESQUERO INDUSTRIAL;-  -  -  -  -  -  -  -;No
897;GRUPO EMPRESARIAL DE INDUSTRIA Y ARTESANIA DE VILLA CLARA;VICLARA;Sí
898;GRUPO AGROINDUSTRIAL DE GRANOS;-  -  -  -  -  -  -  -;No
899;GRUPO EMPRESARIAL DE ACUEDUCTO Y ALCANTARILLADO;GEAAL;Sí
900;GRUPO AGROINDUSTRIAL PECUARIO ARROCERO;-  -  -  -  -  -  -  -;Sí
901;GRUPO EMPRESARIAL CUBACAFE;-  -  -  -  -  -  -  -;No
902;GRUPO DE EMPRESAS MAYORISTAS DE PRODUCTOS ALIMENTICIOS Y OTROS BIENES DE CONSUMO;-  -  -  -  -  -  -  -;Sí
903;GRUPO COMERCIALIZADOR DE PRODUCTOS INDUSTRIALES Y DE SERVICIOS;-  -  -  -  -  -  -  -;Sí
904;GRUPO EMPRESARIAL DE ACEITES Y GRASAS COMESTIBLES;-  -  -  -  -  -  -  -;No
905;GRUPO EMPRESARIAL CUBATAXI;-  -  -  -  -  -  -  -;No
906;GRUPO EMPRESARIAL DE TRANSPORTE DE PINAR DEL RIO;-  -  -  -  -  -  -  -;Sí
907;GRUPO EMPRESARIAL DE APROVECHAMIENTO HIDRAULICO;GEAH;Sí
908;GRUPO EMPRESARIAL DEL MINISTERIO DE EDUCACION;-  -  -  -  -  -  -  -;Sí
917;GRUPO EMPRESARIAL DE INGENIERIA Y LOGISTICA HIDRAULICA, GEILH;GEILH;Sí
990;UN EMP DEL CEMENTO;-  -  -  -  -  -  -  -;No
999;DESCONOCIDO;-  -  -  -  -  -  -  -;Sí
